LR_main_field,type,threshold,measure,0-5,5-10,10-15,15-20,20-25,25-30,30-35,35-40,40-45,45-50,50-55,55-60,60-65,65-70,70-75,75-80,80-85,85-90,90-95,95-100
Biomedical and health sciences,citations,75,perc_intext_citations2,0.007657123,0.008780464,0.00717417,0.005053719,0.003925758,0.00357375,0.003579042,0.003638433,0.00417745,0.004848789,0.005835235,0.006638366,0.007494651,0.008094118,0.00824406,0.007998929,0.007987881,0.007687866,0.007246359,0.006180791
Life and earth sciences,citations,75,perc_intext_citations2,0.00825526,0.00582849,0.004814489,0.00378248,0.003130236,0.002598358,0.002375912,0.002419257,0.002735789,0.002983881,0.003516363,0.003928906,0.0042154,0.004787102,0.005033205,0.005157049,0.005582627,0.005216341,0.005276721,0.005077561
Mathematics and computer science,citations,75,perc_intext_citations2,0.001112829,0.000988641,0.000851742,0.0008901,0.000844189,0.000780833,0.000772405,0.000796779,0.000821043,0.000590135,0.000662783,0.000644675,0.000740955,0.000912548,0.00119861,0.001134334,0.001357727,0.001683606,0.001342088,0.001111263
Physical sciences and engineering,citations,75,perc_intext_citations2,0.002251057,0.002534897,0.002349261,0.001997663,0.001621339,0.001454513,0.001451224,0.00156438,0.001719551,0.00190066,0.001895592,0.002153069,0.002293053,0.002547383,0.002595789,0.002726166,0.002882349,0.00287079,0.002937465,0.003144071
Social sciences and humanities,citations,75,perc_intext_citations2,0.013368184,0.010459907,0.008728107,0.007691932,0.006982977,0.006463765,0.006009572,0.005681206,0.005688304,0.005556022,0.005564554,0.005911326,0.006614502,0.008037334,0.008962437,0.010004152,0.010388693,0.0104238,0.010808723,0.010053539
All,citations,70,n_intext_citations,0.047823892,0.042131174,0.02459966,0.013710514,0.009178779,0.007380893,0.006602342,0.006365707,0.006615408,0.00699224,0.007982539,0.009487172,0.011720375,0.014660994,0.016662125,0.017599539,0.017914361,0.016664821,0.013761533,0.006041138
Biomedical and health sciences,citations,70,n_intext_citations,0.060662859,0.062535149,0.032997196,0.015443277,0.00967787,0.008020445,0.007729583,0.007497447,0.00834585,0.009421552,0.011644119,0.014624582,0.019530532,0.025096965,0.029030154,0.029828813,0.029572496,0.026862859,0.021698519,0.008476426
Life and earth sciences,citations,70,n_intext_citations,0.079538715,0.051606806,0.030809219,0.016762313,0.010972496,0.008121583,0.007021693,0.006940741,0.007320863,0.007869928,0.009122922,0.010949618,0.013056126,0.016744715,0.019382689,0.021140752,0.022962169,0.021249861,0.018004748,0.006919624
Mathematics and computer science,citations,70,n_intext_citations,0.009581202,0.007700385,0.005039409,0.004259249,0.003601385,0.003027862,0.002757969,0.002374215,0.002336261,0.002066368,0.002100105,0.002070585,0.002104322,0.002247703,0.002606154,0.002483859,0.002989909,0.003424268,0.003078467,0.002378432
Physical sciences and engineering,citations,70,n_intext_citations,0.01961719,0.019693377,0.012383587,0.00673524,0.004063092,0.003004157,0.002828018,0.003031417,0.003183093,0.00355005,0.003433323,0.003842218,0.004073576,0.004481073,0.004556562,0.004886474,0.005028364,0.004836148,0.003961741,0.001946621
Social sciences and humanities,citations,70,n_intext_citations,0.11654967,0.078903265,0.061937961,0.049109836,0.038254532,0.030540419,0.023822293,0.019962842,0.01829169,0.016002835,0.014887137,0.014398721,0.015571879,0.019014739,0.022898132,0.02847183,0.03179498,0.032460568,0.029984964,0.01967075
All,citations,70,perc_intext_citations1,0.157369683,0.138637179,0.080947838,0.045115927,0.030203765,0.024287627,0.021725719,0.020947046,0.021768713,0.02300872,0.026267408,0.031218565,0.03856716,0.048243585,0.054828521,0.057913184,0.05894914,0.054837393,0.045283809,0.019879016
