LR_main_field,measure,type,threshold,All,F1,F2,M1,M2
Social sciences and humanities,perc_intext_citations,citations,80,0.058339504,0.06128688,0.061349244,0.056423691,0.056755914
All,perc_intext_citations,citations,80,0.03271108,0.035021727,0.034669056,0.031636078,0.031897512
Biomedical and health sciences,n_intext_citations,citations,80,3172559,658636,439168,917744,1157011
Life and earth sciences,n_intext_citations,citations,80,1336792,251277,163744,418400,503371
Mathematics and computer science,n_intext_citations,citations,80,227019,24211,21498,89651,91659
Physical sciences and engineering,n_intext_citations,citations,80,1063736,143237,99103,385619,435777
Social sciences and humanities,n_intext_citations,citations,80,914672,199349,155908,268830,290585
All,n_intext_citations,citations,80,6714778,1276710,879421,2080244,2478403
Biomedical and health sciences,tot_n_intext_citations,citations,80,85569859,17382381,11645325,25004466,31537687
Life and earth sciences,tot_n_intext_citations,citations,80,39660872,7347670,4949542,12437273,14926387
Mathematics and computer science,tot_n_intext_citations,citations,80,10691759,1118669,985354,4252897,4334839
Physical sciences and engineering,tot_n_intext_citations,citations,80,53674415,7353359,5244625,19296308,21780123
Social sciences and humanities,tot_n_intext_citations,citations,80,15678433,3252719,2541319,4764488,5119907
All,tot_n_intext_citations,citations,80,205275338,36454798,25366165,65755432,77698943
Biomedical and health sciences,perc_intext_citations_valid,citations,80,0.005792297,0.005728099,0.005596666,0.00587659,0.005833085
Life and earth sciences,perc_intext_citations_valid,citations,80,0.004627004,0.00429034,0.004305247,0.004897054,0.004674406
Mathematics and computer science,perc_intext_citations_valid,citations,80,0.000708396,0.000657925,0.00082001,0.000721391,0.000683301
Physical sciences and engineering,perc_intext_citations_valid,citations,80,0.001681602,0.001669033,0.001605835,0.00170587,0.001682589
Social sciences and humanities,perc_intext_citations_valid,citations,80,0.007443346,0.007331097,0.007404029,0.007633139,0.007357556
All,perc_intext_citations_valid,citations,80,0.004353616,0.004606993,0.00451507,0.004261245,0.0042602
Biomedical and health sciences,n_intext_citations_valid,citations,80,495646,99568,65175,146941,183962
Life and earth sciences,n_intext_citations_valid,citations,80,183511,31524,21309,60906,69772
Mathematics and computer science,n_intext_citations_valid,citations,80,7574,736,808,3068,2962
Physical sciences and engineering,n_intext_citations_valid,citations,80,90259,12273,8422,32917,36647
Social sciences and humanities,n_intext_citations_valid,citations,80,116700,23846,18816,36368,37670
All,n_intext_citations_valid,citations,80,893690,167947,114530,280200,331013
