pub_year,type,threshold,field,perc_intext_citations
2009,citations,75,Physical sciences and engineering,0.002205369
2010,citations,75,Physical sciences and engineering,0.002234277
2011,citations,75,Physical sciences and engineering,0.002096504
2012,citations,75,Physical sciences and engineering,0.001996352
2013,citations,75,Physical sciences and engineering,0.001984236
2014,citations,75,Physical sciences and engineering,0.001878298
2015,citations,75,Physical sciences and engineering,0.001831484
2016,citations,75,Physical sciences and engineering,NA
All,citations,75,Physical sciences and engineering,0.002228882
1998,citations,80,Physical sciences and engineering,NA
1999,citations,80,Physical sciences and engineering,NA
2000,citations,80,Physical sciences and engineering,0.002794063
2001,citations,80,Physical sciences and engineering,0.00269069
2002,citations,80,Physical sciences and engineering,0.002583371
2003,citations,80,Physical sciences and engineering,0.002425074
2004,citations,80,Physical sciences and engineering,0.002515414
2005,citations,80,Physical sciences and engineering,0.002319616
2006,citations,80,Physical sciences and engineering,0.002356238
2007,citations,80,Physical sciences and engineering,0.002209609
2008,citations,80,Physical sciences and engineering,0.002077603
2009,citations,80,Physical sciences and engineering,0.002054717
2010,citations,80,Physical sciences and engineering,0.002071764
2011,citations,80,Physical sciences and engineering,0.001963613
2012,citations,80,Physical sciences and engineering,0.001845795
2013,citations,80,Physical sciences and engineering,0.001830105
2014,citations,80,Physical sciences and engineering,0.001734809
2015,citations,80,Physical sciences and engineering,0.001708518
2016,citations,80,Physical sciences and engineering,NA
All,citations,80,Physical sciences and engineering,0.002036286
1998,citances,70,Social sciences and humanities,NA
1999,citances,70,Social sciences and humanities,NA
2000,citances,70,Social sciences and humanities,0.008231128
2001,citances,70,Social sciences and humanities,0.00846683
2002,citances,70,Social sciences and humanities,0.007903172
2003,citances,70,Social sciences and humanities,0.008442997
2004,citances,70,Social sciences and humanities,0.007867259
2005,citances,70,Social sciences and humanities,0.008131925
2006,citances,70,Social sciences and humanities,0.008049785
2007,citances,70,Social sciences and humanities,0.007980125
2008,citances,70,Social sciences and humanities,0.007715307
2009,citances,70,Social sciences and humanities,0.007942527
2010,citances,70,Social sciences and humanities,0.007967455
2011,citances,70,Social sciences and humanities,0.007678276
2012,citances,70,Social sciences and humanities,0.007535805
2013,citances,70,Social sciences and humanities,0.007918815
2014,citances,70,Social sciences and humanities,0.007736436
2015,citances,70,Social sciences and humanities,0.007661551
2016,citances,70,Social sciences and humanities,NA
All,citances,70,Social sciences and humanities,0.007844058
1998,citances,75,Social sciences and humanities,NA
